Datum;Text;Typ;Budgetgrupp;Belopp;Saldo
2018-02-06;Supermarket I Kista;Korttransaktion;Övrigt;-18,90 kr;26,26 kr
2018-02-11;Rabatt Apotek Hjärtat;Insättning;Övrigt;281,34 kr;307,60 kr
2018-02-11;Rabatt Emv Apotek Hjärtat;Insättning;Övrigt;49,81 kr;357,41 kr
2018-02-12;Emv-Rabatt;Insättning;Övrigt;43,22 kr;400,63 kr
2018-02-12;Ica Nära Rädisvägen;Korttransaktion;Övrigt;-209,33 kr;191,30 kr
2018-02-23;Ica Kvantum Åkermynt;Korttransaktion;Övrigt;-61,61 kr;129,69 kr
2018-03-09;Emv-Rabatt;Insättning;Övrigt;32,51 kr;162,20 kr
2018-03-11;Rabatt Apotek Hjärtat;Insättning;Övrigt;167,02 kr;329,22 kr
2018-03-12;Ica Kvantum Åkermynt;Korttransaktion;Övrigt;-158,32 kr;170,90 kr
2018-03-14;Ica Kvantum Åkermynt;Korttransaktion;Övrigt;-103,37 kr;67,53 kr
2018-03-22;Ica Kvantum Åkermynt;Korttransaktion;Övrigt;-41,96 kr;25,57 kr
